QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBPURCH,APBP_RCH
20191,03895104,1,0,1,330,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895114,1,0,1,310,D,1,D,10,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895194,1,0,1,350,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895244,1,0,1,270,D,1,D,11,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895244,2,0,1,700,D,1,D,12,D,66,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895244,3,0,1,660,D,1,D,12,D,821,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895244,4,0,1,660,D,3,D,12,D,821,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895244,5,0,1,350,D,1,D,11,D,66,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895244,6,0,1,425,D,1,D,12,D,192,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,A
20191,03895254,1,0,1,500,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895314,1,0,1,230,D,1,D,12,D,236,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895314,2,0,1,655,D,1,D,10,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895314,3,0,1,660,D,1,D,11,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895314,4,0,1,460,D,1,D,12,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895324,2,0,1,230,D,1,D,11,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895334,2,0,1,230,D,1,D,10,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895454,1,0,1,700,D,1,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895504,1,0,1,270,D,1,D,12,D,19,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895554,1,0,1,700,D,1,D,11,D,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03895554,2,0,1,700,D,3,D,11,D,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
