QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20222,05038051,28,2,1,405,D,05,D,116,E,,A,,A,,A,,A
20222,05038081,13,0,1,420,D,05,D,180,D,,A,,A,,A,,A
20222,05038081,14,0,1,410,D,05,D,20,D,,A,,A,,A,,A
20222,05038101,22,0,1,430,D,04,D,,H,425,D,405,D,415,D,,A
20222,05038101,22,1,1,420,D,04,D,11,E,,A,,A,,A,,A
20222,05038101,22,2,1,420,D,04,D,49,E,,A,,A,,A,,A
20222,05038331,35,0,1,410,D,03,D,800,D,,A,,A,,A,,A
20222,05038351,36,0,1,400,D,04,D,65,D,,A,,A,,A,,A
20222,05038431,19,0,1,430,D,04,D,,H,410,D,405,D,415,D,,A
20222,05038431,19,1,1,410,D,04,D,36,E,,A,,A,,A,,A
20222,05038431,19,2,1,405,D,04,D,293,E,,A,,A,,A,,A
20222,05038431,19,3,1,420,D,04,D,48,E,,A,,A,,A,,A
20222,05038491,16,0,1,420,D,03,D,72,D,,A,,A,,A,,A
20222,05038591,37,0,1,420,D,05,D,250,D,,A,,A,,A,,A
20222,05038691,16,0,1,420,D,04,D,90,D,,A,,A,,A,,A
20222,05038711,39,0,1,430,D,03,D,,H,425,D,415,D,,A,,A
20222,05038711,39,1,1,420,D,03,D,28,E,,A,,A,,A,,A
20222,05038711,39,2,1,420,D,03,D,122,E,,A,,A,,A,,A
20222,05038931,37,0,1,400,D,05,D,150,D,,A,,A,,A,,A
20222,05038971,19,0,1,430,D,04,D,,H,425,D,405,D,415,D,,A
20222,05038971,19,1,1,405,D,04,D,69,E,,A,,A,,A,,A
20222,05038971,19,2,1,420,D,04,D,9,E,,A,,A,,A,,A
20222,05038991,36,0,1,405,D,03,D,40,D,,A,,A,,A,,A
20222,05039031,25,0,1,400,D,04,D,2,D,,A,,A,,A,,A
20222,05039231,32,0,1,400,D,04,D,20,D,,A,,A,,A,,A
20222,05039231,33,0,1,420,D,04,D,80,D,,A,,A,,A,,A
20222,05039431,21,0,1,400,D,04,D,65,D,,A,,A,,A,,A
20222,05039521,25,0,1,420,D,05,D,239,D,,A,,A,,A,,A
20222,05039551,32,0,1,420,D,05,D,65,D,,A,,A,,A,,A
20222,05039551,33,0,1,420,D,05,D,65,D,,A,,A,,A,,A
20222,05039671,34,0,1,420,D,04,D,28,D,,A,,A,,A,,A
20222,05039701,26,0,1,420,D,04,D,129,D,,A,,A,,A,,A
20222,05039751,31,0,1,410,D,04,D,35,D,,A,,A,,A,,A
20222,05039881,41,0,1,420,D,05,D,37,D,,A,,A,,A,,A
20222,05039931,48,0,1,430,D,05,D,,H,425,D,405,D,415,D,,A
20222,05039931,48,1,1,405,D,05,D,61,E,,A,,A,,A,,A
20222,05039931,48,2,1,420,D,05,D,6,E,,A,,A,,A,,A
20222,05039981,16,0,1,400,D,05,D,18,D,,A,,A,,A,,A
20222,05040031,18,0,1,420,D,04,D,168,D,,A,,A,,A,,A
20222,05040061,24,0,1,420,D,04,D,250,D,,A,,A,,A,,A
20222,05040091,25,0,1,420,D,05,D,82,D,,A,,A,,A,,A
20222,05040181,12,0,1,420,D,05,D,75,D,,A,,A,,A,,A
20222,05040502,40,0,1,420,D,03,D,120,D,,A,,A,,A,,A
20222,05040521,14,0,1,400,D,03,D,32,D,,A,,A,,A,,A
20222,05040631,23,0,1,410,D,05,D,60,D,,A,,A,,A,,A
20222,05040641,39,0,1,420,D,05,D,386,D,,A,,A,,A,,A
20222,05041031,31,0,1,430,D,03,D,,H,415,D,410,D,,A,,A
20222,05041031,31,1,1,420,D,03,D,84,E,,A,,A,,A,,A
20222,05041031,31,2,1,410,D,03,D,16,E,,A,,A,,A,,A
20222,05041111,17,0,1,420,D,03,D,360,F,,A,,A,,A,,A
20222,05041231,26,0,1,405,D,04,D,55,D,,A,,A,,A,,A
20222,05041341,27,0,1,420,D,05,D,280,D,,A,,A,,A,,A
20222,05041581,45,0,1,420,D,05,D,100,D,,A,,A,,A,,A
20222,05041601,36,0,1,400,D,05,D,65,D,,A,,A,,A,,A
20222,05041661,20,0,1,405,D,03,D,80,D,,A,,A,,A,,A
20222,05041711,29,0,1,410,D,04,D,20,D,,A,,A,,A,,A
20222,05041821,28,0,1,420,D,03,D,178,D,,A,,A,,A,,A
20222,05041931,23,0,1,430,D,05,D,,H,425,D,415,D,,A,,A
20222,05041931,23,1,1,420,D,05,D,51,E,,A,,A,,A,,A
20222,05041931,23,2,1,420,D,05,D,79,E,,A,,A,,A,,A
20222,05041971,47,0,1,410,D,04,D,21,D,,A,,A,,A,,A
20222,05042031,17,0,1,420,D,03,D,30,D,,A,,A,,A,,A
20222,05042051,47,0,1,410,D,05,D,15,D,,A,,A,,A,,A
20222,05042082,68,0,1,400,D,04,D,27,D,,A,,A,,A,,A
20222,05042082,69,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20222,05042082,69,1,1,420,D,05,D,800,E,,A,,A,,A,,A
20222,05042181,34,0,1,410,D,03,D,35,D,,A,,A,,A,,A
20222,05042211,10,0,1,400,D,04,D,25,D,,A,,A,,A,,A
20222,05042211,11,0,1,420,D,04,D,100,D,,A,,A,,A,,A
20222,05042341,32,0,1,420,D,03,D,120,D,,A,,A,,A,,A
20222,05042411,19,0,1,400,D,05,D,30,D,,A,,A,,A,,A
20222,05042444,33,0,1,400,D,05,D,140,D,,A,,A,,A,,A
20222,05042444,34,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20222,05042444,34,1,1,420,D,05,D,525,E,,A,,A,,A,,A
20222,05042561,44,0,1,420,D,04,D,140,D,,A,,A,,A,,A
20222,05042721,32,0,1,420,D,04,D,75,D,,A,,A,,A,,A
20222,05042781,33,0,1,410,D,05,D,26,D,,A,,A,,A,,A
20222,05042781,34,0,1,420,D,05,D,78,D,,A,,A,,A,,A
20222,05042801,602,0,1,410,D,04,D,38,D,,A,,A,,A,,A
20222,05042841,22,0,1,400,D,04,D,45,D,,A,,A,,A,,A
20222,05042971,35,0,1,410,D,05,D,35,F,,A,,A,,A,,A
20222,05043051,31,0,1,430,D,03,D,,H,405,D,415,D,,A,,A
