QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20222,04817034,14,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,80,D,80,D,,A,1,D
20222,04817054,19,0,1,,A,,A,2,D,2,D,1,D,,A,,A,,A,,A,43,E,43,E,42,E,,A,,A,,A,47,E,47,E,48,E,2,D,1,D
20222,04817054,20,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,100,D,100,D,100,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04817064,34,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,185,D,185,D,185,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04817064,35,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,90,D,90,D,90,D,,A,,A,,A,,A,1,D
20222,04817064,36,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,98,D,98,D,98,D,,A,1,D
20222,04817114,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,90,D,90,D,,A,1,D
20222,04817114,30,0,1,,A,,A,,A,1,D,2,D,,A,99,D,99,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04817134,10,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,45,D,45,D,45,D,,A,1,D
20222,04817134,11,0,1,,A,,A,,A,1,D,2,D,,A,89,D,89,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04817224,16,0,1,,A,,A,2,D,1,D,2,D,,A,90,E,89,E,92,E,,A,,A,,A,,A,,A,,A,90,E,91,E,88,E,2,D,1,D
